TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
2040000000.0	8462146.1	3517484.3	34059434.6
2041000000.0	8462164.5	3517487.3	34059758.6
2042000000.0	8462182.9	3517490.4	34060082.2
2043000000.0	8462201.2	3517493.4	34060405.5
2044000000.0	8462219.5	3517496.4	34060728.5
2045000000.0	8462237.8	3517499.4	34061051.2
2046000000.0	8462256.1	3517502.4	34061373.5
2047000000.0	8462274.4	3517505.4	34061695.6
2048000000.0	8462292.7	3517508.4	34062017.4
2049000000.0	8462310.9	3517511.4	34062338.8
2050000000.0	8462329.1	3517514.4	34062660.0
2051000000.0	8462347.3	3517517.4	34062980.8
2052000000.0	8462365.5	3517520.4	34063301.3
2053000000.0	8462383.7	3517523.4	34063621.6
2054000000.0	8462401.8	3517526.3	34063941.5
2055000000.0	8462420.0	3517529.3	34064261.1
2056000000.0	8462438.1	3517532.3	34064580.4
2057000000.0	8462456.2	3517535.3	34064899.4
2058000000.0	8462474.3	3517538.3	34065218.1
2059000000.0	8462492.3	3517541.2	34065536.5
2060000000.0	8462510.4	3517544.2	34065854.6
2061000000.0	8462528.4	3517547.2	34066172.4
2062000000.0	8462546.4	3517550.1	34066489.9
2063000000.0	8462564.4	3517553.1	34066807.0
2064000000.0	8462582.4	3517556.0	34067123.9
2065000000.0	8462600.3	3517559.0	34067440.5
2066000000.0	8462618.3	3517561.9	34067756.8
2067000000.0	8462636.2	3517564.9	34068072.8
2068000000.0	8462654.1	3517567.8	34068388.5
2069000000.0	8462672.0	3517570.8	34068703.8
2070000000.0	8462689.9	3517573.7	34069018.9
2071000000.0	8462707.7	3517576.6	34069333.7
2072000000.0	8462725.6	3517579.6	34069648.2
2073000000.0	8462743.4	3517582.5	34069962.4
2074000000.0	8462761.2	3517585.4	34070276.3
2075000000.0	8462779.0	3517588.3	34070589.9
2076000000.0	8462796.8	3517591.3	34070903.2
2077000000.0	8462814.5	3517594.2	34071216.2
2078000000.0	8462832.2	3517597.1	34071528.9
2079000000.0	8462850.0	3517600.0	34071841.3
2080000000.0	8462867.7	3517602.9	34072153.4
2081000000.0	8462885.4	3517605.8	34072465.3
2082000000.0	8462903.0	3517608.7	34072776.8
2083000000.0	8462920.7	3517611.6	34073088.0
2084000000.0	8462938.3	3517614.5	34073399.0
2085000000.0	8462955.9	3517617.4	34073709.6
2086000000.0	8462973.5	3517620.3	34074020.0
2087000000.0	8462991.1	3517623.2	34074330.1
2088000000.0	8463008.7	3517626.1	34074639.8
2089000000.0	8463026.2	3517629.0	34074949.3
2090000000.0	8463043.8	3517631.9	34075258.5
2091000000.0	8463061.3	3517634.7	34075567.4
2092000000.0	8463078.8	3517637.6	34075876.0
2093000000.0	8463096.3	3517640.5	34076184.4
2094000000.0	8463113.7	3517643.4	34076492.4
2095000000.0	8463131.2	3517646.2	34076800.2
2096000000.0	8463148.6	3517649.1	34077107.6
2097000000.0	8463166.0	3517651.9	34077414.8
2098000000.0	8463183.4	3517654.8	34077721.7
2099000000.0	8463200.8	3517657.7	34078028.3
2100000000.0	8463218.2	3517660.5	34078334.6
2101000000.0	8463235.5	3517663.4	34078640.6
2102000000.0	8463252.9	3517666.2	34078946.4
2103000000.0	8463270.2	3517669.1	34079251.8
2104000000.0	8463287.5	3517671.9	34079557.0
2105000000.0	8463304.8	3517674.8	34079861.9
2106000000.0	8463322.0	3517677.6	34080166.5
2107000000.0	8463339.3	3517680.4	34080470.8
2108000000.0	8463356.5	3517683.3	34080774.8
2109000000.0	8463373.8	3517686.1	34081078.6
2110000000.0	8463391.0	3517688.9	34081382.1
2111000000.0	8463408.1	3517691.7	34081685.2
2112000000.0	8463425.3	3517694.6	34081988.2
2113000000.0	8463442.5	3517697.4	34082290.8
2114000000.0	8463459.6	3517700.2	34082593.1
2115000000.0	8463476.7	3517703.0	34082895.2
2116000000.0	8463493.8	3517705.8	34083197.0
2117000000.0	8463510.9	3517708.6	34083498.5
2118000000.0	8463528.0	3517711.4	34083799.7
2119000000.0	8463545.1	3517714.2	34084100.6
2120000000.0	8463562.1	3517717.0	34084401.3
2121000000.0	8463579.1	3517719.8	34084701.7
2122000000.0	8463596.1	3517722.6	34085001.8
2123000000.0	8463613.1	3517725.4	34085301.6
2124000000.0	8463630.1	3517728.2	34085601.2
2125000000.0	8463647.1	3517731.0	34085900.5
2126000000.0	8463664.0	3517733.8	34086199.5
2127000000.0	8463681.0	3517736.6	34086498.2
2128000000.0	8463697.9	3517739.4	34086796.7
2129000000.0	8463714.8	3517742.1	34087094.8
2130000000.0	8463731.7	3517744.9	34087392.7
2131000000.0	8463748.5	3517747.7	34087690.4
2132000000.0	8463765.4	3517750.4	34087987.7
2133000000.0	8463782.2	3517753.2	34088284.8
2134000000.0	8463799.0	3517756.0	34088581.6
2135000000.0	8463815.8	3517758.7	34088878.2
2136000000.0	8463832.6	3517761.5	34089174.4
2137000000.0	8463849.4	3517764.3	34089470.4
2138000000.0	8463866.2	3517767.0	34089766.1
2139000000.0	8463882.9	3517769.8	34090061.6
2140000000.0	8463899.6	3517772.5	34090356.7
2141000000.0	8463916.3	3517775.3	34090651.6
2142000000.0	8463933.0	3517778.0	34090946.3
2143000000.0	8463949.7	3517780.7	34091240.6
2144000000.0	8463966.4	3517783.5	34091534.7
2145000000.0	8463983.0	3517786.2	34091828.6
2146000000.0	8463999.7	3517788.9	34092122.1
2147000000.0	8464016.3	3517791.7	34092415.4
2148000000.0	8464032.9	3517794.4	34092708.4
2149000000.0	8464049.5	3517797.1	34093001.2
2150000000.0	8464066.1	3517799.9	34093293.7
2151000000.0	8464082.6	3517802.6	34093585.9
2152000000.0	8464099.2	3517805.3	34093877.9
