TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
132000000.0	7146692.6	4491898.7	10682943.5
133000000.0	7149830.2	4493045.9	10690202.8
134000000.0	7152923.8	4494176.6	10697363.5
135000000.0	7155974.1	4495291.0	10704427.6
136000000.0	7158982.2	4496389.6	10711397.0
137000000.0	7161948.8	4497472.7	10718273.7
138000000.0	7164874.8	4498540.6	10725059.4
139000000.0	7167761.0	4499593.7	10731756.0
140000000.0	7170608.4	4500632.1	10738365.1
141000000.0	7173417.5	4501656.3	10744888.6
142000000.0	7176189.2	4502666.6	10751328.1
143000000.0	7178924.3	4503663.1	10757685.1
144000000.0	7181623.4	4504646.3	10763961.3
145000000.0	7184287.3	4505616.3	10770158.2
146000000.0	7186916.7	4506573.4	10776277.2
147000000.0	7189512.2	4507517.9	10782319.9
148000000.0	7192074.4	4508450.0	10788287.6
149000000.0	7194604.0	4509370.0	10794181.8
150000000.0	7197101.7	4510278.1	10800003.7
151000000.0	7199567.9	4511174.5	10805754.8
152000000.0	7202003.4	4512059.5	10811436.2
153000000.0	7204408.7	4512933.2	10817049.4
154000000.0	7206784.3	4513795.9	10822595.3
155000000.0	7209130.8	4514647.8	10828075.4
156000000.0	7211448.7	4515489.1	10833490.7
157000000.0	7213738.6	4516320.0	10838842.4
158000000.0	7216000.9	4517140.7	10844131.6
159000000.0	7218236.1	4517951.4	10849359.4
160000000.0	7220444.8	4518752.2	10854526.9
161000000.0	7222627.3	4519543.3	10859635.0
162000000.0	7224784.2	4520324.9	10864684.8
163000000.0	7226916.0	4521097.2	10869677.4
164000000.0	7229022.9	4521860.4	10874613.6
165000000.0	7231105.5	4522614.5	10879494.4
166000000.0	7233164.2	4523359.8	10884320.8
167000000.0	7235199.4	4524096.5	10889093.6
168000000.0	7237211.6	4524824.6	10893813.7
169000000.0	7239201.0	4525544.3	10898482.1
170000000.0	7241168.0	4526255.7	10903099.5
171000000.0	7243113.1	4526959.1	10907666.8
172000000.0	7245036.7	4527654.5	10912184.8
173000000.0	7246939.0	4528342.0	10916654.2
174000000.0	7248820.4	4529021.9	10921076.0
175000000.0	7250681.3	4529694.2	10925450.7
176000000.0	7252521.9	4530359.0	10929779.2
177000000.0	7254342.7	4531016.6	10934062.3
178000000.0	7256144.0	4531666.9	10938300.5
179000000.0	7257925.9	4532310.2	10942494.6
180000000.0	7259689.0	4532946.4	10946645.4
181000000.0	7261433.4	4533575.9	10950753.4
182000000.0	7263159.5	4534198.5	10954819.3
183000000.0	7264867.5	4534814.6	10958843.8
184000000.0	7266557.8	4535424.1	10962827.5
185000000.0	7268230.5	4536027.2	10966771.0
186000000.0	7269886.0	4536623.9	10970674.9
187000000.0	7271524.6	4537214.4	10974539.9
188000000.0	7273146.5	4537798.8	10978366.4
189000000.0	7274751.9	4538377.2	10982155.1
190000000.0	7276341.1	4538949.6	10985906.5
191000000.0	7277914.3	4539516.2	10989621.2
192000000.0	7279471.9	4540077.0	10993299.6
193000000.0	7281013.9	4540632.1	10996942.4
194000000.0	7282540.7	4541181.6	11000550.1
195000000.0	7284052.5	4541725.6	11004123.1
196000000.0	7285549.5	4542264.2	11007662.0
197000000.0	7287031.8	4542797.5	11011167.2
198000000.0	7288499.8	4543325.5	11014639.2
199000000.0	7289953.7	4543848.3	11018078.5
200000000.0	7291393.5	4544366.0	11021485.6
201000000.0	7292819.6	4544878.7	11024860.8
202000000.0	7294232.1	4545386.4	11028204.7
203000000.0	7295631.3	4545889.2	11031517.7
204000000.0	7297017.3	4546387.2	11034800.1
205000000.0	7298390.2	4546880.4	11038052.5
206000000.0	7299750.4	4547369.0	11041275.2
207000000.0	7301097.9	4547852.9	11044468.7
208000000.0	7302432.9	4548332.3	11047633.3
209000000.0	7303755.7	4548807.2	11050769.4
210000000.0	7305066.3	4549277.7	11053877.4
211000000.0	7306364.9	4549743.8	11056957.7
212000000.0	7307651.8	4550205.6	11060010.7
213000000.0	7308927.0	4550663.2	11063036.7
214000000.0	7310190.8	4551116.6	11066036.0
215000000.0	7311443.2	4551565.8	11069009.1
216000000.0	7312684.5	4552011.0	11071956.2
217000000.0	7313914.7	4552452.2	11074877.7
218000000.0	7315134.1	4552889.4	11077774.0
219000000.0	7316342.7	4553322.6	11080645.3
220000000.0	7317540.7	4553752.1	11083492.0
221000000.0	7318728.3	4554177.7	11086314.4
222000000.0	7319905.6	4554599.6	11089112.8
223000000.0	7321072.6	4555017.7	11091887.5
224000000.0	7322229.7	4555432.2	11094638.8
225000000.0	7323376.8	4555843.1	11097367.1
226000000.0	7324514.1	4556250.5	11100072.5
227000000.0	7325641.7	4556654.3	11102755.4
228000000.0	7326759.8	4557054.6	11105416.1
229000000.0	7327868.4	4557451.5	11108054.8
230000000.0	7328967.8	4557845.0	11110671.8
231000000.0	7330057.9	4558235.2	11113267.3
232000000.0	7331139.0	4558622.1	11115841.7
233000000.0	7332211.1	4559005.8	11118395.3
