task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
84	72/4ba4e7	454695	PLOTPROFILE (SPT5_T0_R2)	COMPLETED	0	2020-09-10 13:11:53.111	6m 49s	6m 46s	168.1%	223.8 MB	606 MB	554.7 MB	86 MB
86	ec/d1de3e	474144	MACS2_ANNOTATE (SPT5_T0_R2 vs SPT5_INPUT_R2)	COMPLETED	0	2020-09-10 13:18:41.919	8.5s	5.9s	100.6%	66.9 MB	118.1 MB	55.3 MB	5.8 MB
85	ad/2c47a1	457378	PLOTPROFILE (SPT5_INPUT_R2)	COMPLETED	0	2020-09-10 13:12:22.773	6m 48s	6m 44s	165.1%	201.2 MB	603.6 MB	538.3 MB	91.4 MB
88	47/9ffee3	477646	MACS2_ANNOTATE (SPT5_T15_R1 vs SPT5_INPUT_R1)	COMPLETED	0	2020-09-10 13:19:10.331	11.2s	7.5s	94.1%	415.2 MB	464.6 MB	55.4 MB	5.9 MB
87	ca/fbf7fb	475566	PLOTPROFILE (SPT5_T15_R1)	COMPLETED	0	2020-09-10 13:18:50.379	7m 8s	7m 6s	160.1%	207.8 MB	604.7 MB	535 MB	88.2 MB
91	e9/d5c26f	496710	CONSENSUS_PEAKS (SPT5)	COMPLETED	0	2020-09-10 13:25:58.434	5.7s	2.6s	100.8%	112.3 MB	754.4 MB	13 MB	813.1 KB
89	93/adeaf4	479172	PLOTPROFILE (SPT5_T15_R2)	COMPLETED	0	2020-09-10 13:19:21.577	6m 51s	6m 47s	165.0%	223.8 MB	607.4 MB	522.8 MB	88 MB
90	4d/d3c0a6	497663	MACS2_ANNOTATE (SPT5_T15_R2 vs SPT5_INPUT_R2)	COMPLETED	0	2020-09-10 13:26:04.179	11.8s	8.8s	91.6%	66.5 MB	117.7 MB	55.5 MB	5.9 MB
93	48/070bc1	498850	CONSENSUS_PEAKS_COUNTS (SPT5)	COMPLETED	0	2020-09-10 13:26:12.374	5.1s	1.3s	112.5%	15.8 MB	354.4 MB	24.7 MB	74.2 KB
92	3d/128e0a	499906	CONSENSUS_PEAKS_ANNOTATE (SPT5)	COMPLETED	0	2020-09-10 13:26:16.025	10.6s	7.5s	98.3%	42.4 MB	93.2 MB	56.8 MB	7.2 MB
94	2e/c38082	500556	MACS2_QC	COMPLETED	0	2020-09-10 13:26:17.449	9.8s	6.2s	114.9%	129.6 MB	772.2 MB	27.5 MB	494 KB
95	ef/d1ca38	502398	CONSENSUS_PEAKS_DESEQ2 (SPT5)	COMPLETED	0	2020-09-10 13:26:26.639	19.8s	17.1s	116.6%	1.9 GB	3.7 GB	43 MB	3.4 MB
97	08/d40313	504143	IGV	COMPLETED	0	2020-09-10 13:26:46.701	3.6s	67ms	87.5%	2.6 MB	17.8 MB	624.4 KB	7.3 KB
96	68/199ec6	504102	MULTIQC (1)	COMPLETED	0	2020-09-10 13:26:46.536	12.6s	8.4s	95.8%	155.9 MB	646.1 MB	309.7 MB	11.6 MB
